City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Shevchenko,UA,2022-03-26 19:59:40,48.5,35.0,51.21,54,99,18.07
94,Florencia,IT,2022-03-26 19:59:40,43.7667,11.25,60.53,38,0,8.05
95,Garissa,KE,2022-03-26 19:59:40,-0.4536,39.6401,83.35,63,96,14.7
96,Mahon,ES,2022-03-26 19:59:41,39.8885,4.2658,55.96,88,40,13.8
97,Souillac,MU,2022-03-26 19:59:41,-20.5167,57.5167,80.98,83,40,5.75
98,Reconquista,AR,2022-03-26 19:59:41,-29.15,-59.65,77.7,46,0,6.78
99,Saint-Philippe,RE,2022-03-26 19:59:41,-21.3585,55.7679,76.59,86,29,7.81
100,Beloha,MG,2022-03-26 19:55:33,-25.1667,45.05,70.12,95,25,5.57
101,Paamiut,GL,2022-03-26 19:59:42,61.994,-49.6678,27.54,81,2,13.2
102,Turukhansk,RU,2022-03-26 19:59:42,65.8167,87.9833,20.53,96,100,4.56
103,Port-Gentil,GA,2022-03-26 19:59:42,-0.7193,8.7815,82.36,89,40,10.36
104,Berlevag,NO,2022-03-26 19:59:42,70.8578,29.0864,22.8,66,100,25.61
105,Ancud,CL,2022-03-26 19:59:43,-41.8697,-73.8203,55.22,92,96,20.18
106,Benguela,AO,2022-03-26 19:59:43,-12.5763,13.4055,77.9,83,98,5.93
107,Sistranda,NO,2022-03-26 19:59:43,63.7256,8.834,33.76,98,100,9.04
108,Ankara,TR,2022-03-26 19:57:17,39.9199,32.8543,35.2,69,6,3.4
109,Iralaya,HN,2022-03-26 19:59:44,15.0,-83.2333,83.23,56,10,11.86
110,Pokhara,NP,2022-03-26 19:57:51,28.2333,83.9833,66.94,21,0,7.18
111,Dingle,PH,2022-03-26 19:59:44,10.9995,122.6711,76.1,90,89,6.42
112,Porto Velho,BR,2022-03-26 19:58:42,-8.7619,-63.9039,80.65,83,40,3.44
113,Itaqui,BR,2022-03-26 19:59:44,-29.1253,-56.5531,73.89,58,100,9.91
114,Balezino,RU,2022-03-26 19:59:44,57.9796,53.0106,32.47,96,100,20.13
115,Codrington,AU,2022-03-26 19:59:45,-38.2667,141.9667,55.09,73,0,4.81
116,Castro,BR,2022-03-26 19:59:45,-24.7911,-50.0119,73.08,76,95,6.33
117,Gayeri,BF,2022-03-26 19:59:45,12.6497,0.4931,91.96,11,62,8.88
118,Roald,NO,2022-03-26 19:59:46,62.5833,6.1333,45.75,81,75,9.22
119,Laguna,US,2022-03-26 19:59:46,38.421,-121.4238,79.18,49,40,4.0
120,Quelimane,MZ,2022-03-26 19:59:46,-17.8786,36.8883,80.55,83,20,5.99
121,Lubao,PH,2022-03-26 19:59:46,14.9167,120.55,80.67,81,9,2.71
122,Yar-Sale,RU,2022-03-26 19:59:47,66.8333,70.8333,-9.36,92,51,7.54
123,Chimore,BO,2022-03-26 19:59:47,-16.9833,-65.1333,68.83,90,100,0.98
124,San Cristobal,VE,2022-03-26 19:59:47,7.7669,-72.225,84.38,50,100,6.46
125,Vasylivka,UA,2022-03-26 19:59:47,47.4369,35.2742,45.37,59,100,25.37
126,Matagami,CA,2022-03-26 19:59:48,49.7502,-77.6328,28.51,86,100,25.32
127,Cabedelo,BR,2022-03-26 19:56:14,-6.9811,-34.8339,83.07,79,95,6.93
128,Skibbereen,IE,2022-03-26 19:59:48,51.55,-9.2667,53.11,81,0,11.07
129,Kilindoni,TZ,2022-03-26 19:59:48,-7.9139,39.6668,83.14,76,3,8.68
130,Teeli,RU,2022-03-26 19:59:49,51.0333,90.2333,4.6,80,96,3.13
131,Dikson,RU,2022-03-26 19:59:49,73.5069,80.5464,-4.54,93,100,14.2
132,Jumla,NP,2022-03-26 19:59:49,29.2747,82.1838,45.52,44,0,4.38
133,Stokmarknes,NO,2022-03-26 19:59:49,68.5646,14.9108,24.78,93,75,4.61
134,Tabou,CI,2022-03-26 19:59:50,4.423,-7.3528,79.97,86,100,8.72
135,Diffa,NE,2022-03-26 19:59:50,13.3154,12.6113,79.34,17,9,12.24
136,Belmonte,BR,2022-03-26 19:59:50,-15.8631,-38.8828,81.52,71,2,8.55
137,Karla,EE,2022-03-26 20:00:50,59.3723,24.9275,30.16,59,75,17.27
138,Iquique,CL,2022-03-26 20:00:51,-20.2208,-70.1431,71.8,70,8,10.02
139,Ati,TD,2022-03-26 20:00:51,13.2154,18.3353,80.55,10,11,13.8
140,Geraldton,AU,2022-03-26 20:00:51,-28.7667,114.6,72.01,88,70,5.75
141,Effium,NG,2022-03-26 20:00:52,6.6292,8.0593,90.3,44,87,11.03
142,Gravdal,NO,2022-03-26 19:57:04,68.1214,13.5031,26.49,86,75,2.3
143,Kondinskoye,RU,2022-03-26 20:00:52,59.6481,67.41,10.9,91,19,10.18
144,Chrastava,CZ,2022-03-26 20:00:52,50.8169,14.9688,54.64,81,100,6.26
145,Terra Santa,BR,2022-03-26 20:00:53,-2.1042,-56.4869,84.2,77,56,3.8
146,Gdansk,PL,2022-03-26 20:00:53,54.3521,18.6464,40.15,60,0,8.05
147,Key West,US,2022-03-26 20:00:53,24.5557,-81.7826,72.0,61,3,13.11
148,Saldanha,ZA,2022-03-26 20:00:54,-33.0117,17.9442,64.29,80,95,7.38
149,Muros,ES,2022-03-26 19:58:58,42.7762,-9.0603,58.08,80,100,4.7
150,Ariogala,LT,2022-03-26 20:00:54,55.2667,23.4667,31.57,61,8,19.55
151,Trairi,BR,2022-03-26 20:00:54,-3.2778,-39.2689,80.08,83,100,9.31
152,Parfino,RU,2022-03-26 20:00:54,57.9731,31.6481,26.42,89,100,18.86
153,Monforte De Lemos,ES,2022-03-26 20:00:55,42.5216,-7.5142,59.58,78,97,1.3
154,Sidi Ali,DZ,2022-03-26 20:00:55,36.0998,0.4206,53.83,79,7,3.8
155,Antequera,ES,2022-03-26 19:56:17,37.0194,-4.5612,54.95,87,12,3.8
156,Babino,RU,2022-03-26 20:00:56,56.2256,43.6238,35.58,74,75,11.18
157,Mandera,KE,2022-03-26 20:00:56,3.9366,41.867,88.11,44,37,5.32
158,Jardim,BR,2022-03-26 20:00:57,-21.4803,-56.1381,81.16,45,53,1.61
159,Cravo Norte,CO,2022-03-26 20:00:57,6.3017,-70.2041,93.61,40,84,6.42
160,Saurimo,AO,2022-03-26 20:00:57,-9.6608,20.3916,66.54,94,89,2.1
161,Upernavik,GL,2022-03-26 20:00:58,72.7868,-56.1549,12.67,92,100,5.39
162,Mweka,CD,2022-03-26 20:00:58,-4.85,21.5667,73.65,78,100,1.21
163,Caravelas,BR,2022-03-26 20:00:58,-17.7125,-39.2481,81.01,75,8,8.14
164,Antalaha,MG,2022-03-26 20:00:58,-14.9003,50.2788,76.89,90,8,4.94
165,Vredendal,ZA,2022-03-26 20:00:59,-31.6683,18.5012,69.35,50,53,6.46
166,Ginir,ET,2022-03-26 20:00:59,7.1333,40.7,63.16,65,79,5.86
167,Surgut,RU,2022-03-26 20:01:00,61.25,73.4167,14.18,56,0,7.0
168,Qaqortoq,GL,2022-03-26 20:01:00,60.7167,-46.0333,26.28,71,36,1.54
169,Lebu,CL,2022-03-26 20:01:01,-37.6167,-73.65,61.18,70,72,6.38
170,Ribeira Grande,PT,2022-03-26 20:01:01,38.5167,-28.7,59.4,88,40,12.66
