City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Marawi,PH,7.9986,124.2928,77.59,66,20,2.37,few clouds
113,Ramhormoz,IR,31.28,49.6035,61.18,23,85,4.36,overcast clouds
114,Qaqortoq,GL,60.7167,-46.0333,28.47,72,76,0.54,broken clouds
115,Noyon,FR,49.5833,3.0,47.05,87,100,5.08,overcast clouds
116,Eregli,TR,37.5133,34.0467,42.24,81,80,3.31,broken clouds
117,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,6.91,overcast clouds
118,Halden,NO,59.1226,11.3871,28.63,51,54,3.58,broken clouds
119,Margate,GB,51.3813,1.3862,47.7,89,100,3.0,overcast clouds
120,Iskateley,RU,67.6803,53.1512,-0.47,98,100,5.95,overcast clouds
121,Padang,ID,-0.9492,100.3543,77.05,66,7,2.46,clear sky
122,San Cristobal,VE,7.7669,-72.225,71.78,89,16,2.46,few clouds
123,Hualmay,PE,-11.0964,-77.6139,69.91,86,90,10.42,overcast clouds
124,Brownsville,US,25.9018,-97.4975,76.08,83,100,27.63,overcast clouds
125,Maragogi,BR,-9.0122,-35.2225,78.12,82,100,3.47,overcast clouds
126,Vanersborg,SE,58.3807,12.3234,26.58,68,3,1.14,clear sky
127,Altay,CN,47.8667,88.1167,29.08,94,100,0.6,light snow
128,Saint George,US,37.1041,-113.5841,57.63,71,40,4.61,scattered clouds
129,East London,ZA,-33.0153,27.9116,73.09,85,100,11.07,overcast clouds
130,Klaksvik,FO,62.2266,-6.589,32.92,54,100,23.58,overcast clouds
131,Male,MV,4.1748,73.5089,82.35,78,20,4.61,few clouds
132,Hambantota,LK,6.1241,81.1185,77.34,100,40,1.14,scattered clouds
133,Evanston,US,42.0411,-87.6901,42.8,53,100,16.11,overcast clouds
134,Ancud,CL,-41.8697,-73.8203,47.23,77,5,5.77,clear sky
135,Camopi,GF,3.1655,-52.3158,71.69,98,73,3.58,broken clouds
136,Suleja,NG,9.1758,7.1808,79.14,37,96,4.12,overcast clouds
137,Berlevag,NO,70.8578,29.0864,26.4,76,100,23.94,light snow
138,Saldanha,ZA,-33.0117,17.9442,61.7,80,65,8.68,broken clouds
139,Dalvik,IS,65.9702,-18.5286,21.13,57,18,7.45,few clouds
140,Verkhnyaya Inta,RU,65.9811,60.3094,-2.87,98,86,4.72,overcast clouds
141,Mehamn,NO,71.0357,27.8492,28.11,80,100,24.83,light snow
142,Bereda,ES,43.2686,-7.5406,43.57,100,100,3.36,overcast clouds
143,General Roca,AR,-39.0333,-67.5833,50.63,19,5,7.85,clear sky
144,Souillac,MU,-20.5167,57.5167,75.58,88,40,1.14,scattered clouds
145,Lasa,IT,46.6166,10.7002,41.88,92,100,2.73,overcast clouds
146,Ostroh,UA,50.3294,26.5143,43.68,82,100,5.44,overcast clouds
147,Biankouma,CI,7.7391,-7.6138,74.52,60,61,3.33,broken clouds
148,Lamu,KE,-2.2717,40.902,82.62,78,54,10.54,broken clouds
149,Tiruttani,IN,13.177,79.6128,77.45,85,6,5.61,clear sky
150,Raga,SS,8.4596,25.678,74.75,15,15,3.67,few clouds
151,Diego De Almagro,CL,-26.3667,-70.05,64.15,50,0,1.54,clear sky
152,Molina,CL,-35.1167,-71.2833,58.37,43,0,11.5,clear sky
153,Maniitsoq,GL,65.4167,-52.9,18.77,89,33,6.8,scattered clouds
154,Ugoofaaru,MV,5.6667,73.0,81.55,73,3,3.11,clear sky
155,Pozo Colorado,PY,-23.4923,-58.7972,82.81,51,0,5.97,clear sky
156,Awbari,LY,26.5921,12.7805,69.19,10,8,8.12,clear sky
157,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,1.14,scattered clouds
158,Nova Olinda Do Norte,BR,-3.8881,-59.0942,73.02,99,100,3.4,overcast clouds
159,Finale Emilia,IT,44.8346,11.2939,49.89,86,100,5.03,overcast clouds
160,Nikolsk,RU,53.7189,46.0712,33.87,99,100,8.28,light snow
161,Puerto Narino,CO,-3.7703,-70.3831,70.81,99,100,1.99,overcast clouds
162,Lujan,AR,-34.5703,-59.105,62.94,48,0,4.0,clear sky
163,Kalemie,CD,-5.9475,29.1947,69.4,91,100,6.46,light rain
164,Kalmunai,LK,7.4167,81.8167,78.19,86,2,6.06,clear sky
165,Dnestrovsc,MD,46.6222,29.9133,51.21,54,53,5.39,broken clouds
166,Sakakah,SA,29.9697,40.2064,60.37,15,6,8.34,clear sky
167,Oranjemund,NA,-28.55,16.4333,63.12,93,100,8.23,overcast clouds
168,Axim,GH,4.8699,-2.2405,80.04,87,92,5.28,overcast clouds
169,Dabat,ET,12.9842,37.765,58.41,32,4,6.26,clear sky
170,Sovetskiy,RU,61.3614,63.5842,15.04,98,100,1.41,overcast clouds
171,Chapais,CA,49.7834,-74.8492,15.58,94,100,5.97,overcast clouds
172,Salalah,OM,17.0151,54.0924,84.29,14,0,8.05,clear sky
173,Ipixuna,BR,-1.7625,-48.8043,73.47,99,100,1.92,overcast clouds
174,Thompson,CA,55.7435,-97.8558,24.96,54,20,5.75,few clouds
175,Tibati,CM,6.4667,12.6333,65.68,16,18,2.55,few clouds
176,Tbilisskaya,RU,45.3633,40.19,43.86,68,100,5.5,overcast clouds
177,Butterworth,MY,5.3991,100.3638,84.24,87,20,3.44,few clouds
178,Thinadhoo,MV,0.5333,72.9333,81.99,71,0,5.88,clear sky
179,Huarmey,PE,-10.0681,-78.1522,71.01,84,61,9.57,broken clouds
180,Gurupi,BR,-11.7292,-49.0686,73.35,94,100,3.71,overcast clouds
181,Balkhash,KZ,46.844,74.9804,30.81,69,75,20.13,broken clouds
182,Matagami,CA,49.7502,-77.6328,12.31,67,0,2.3,clear sky
183,Eyl,SO,7.9803,49.8164,77.97,80,25,12.44,scattered clouds
184,Saint-Francois,FR,46.4154,3.9054,49.68,94,100,3.44,overcast clouds
185,Maceio,BR,-9.6658,-35.7353,76.44,88,20,4.61,few clouds
186,Plettenberg Bay,ZA,-34.0527,23.3716,64.45,87,100,2.73,overcast clouds
187,Mayumba,GA,-3.432,10.6554,75.4,90,85,6.33,overcast clouds
188,Beloha,MG,-25.1667,45.05,70.05,81,0,17.11,clear sky
189,Mbanza-Ngungu,CD,-5.25,14.8667,67.59,99,100,2.42,overcast clouds
190,Grindavik,IS,63.8424,-22.4338,36.07,80,75,20.71,broken clouds
191,Sokoni,TZ,-6.4333,39.55,81.73,79,76,9.42,moderate rain
192,Port Blair,IN,11.6667,92.75,80.64,89,20,2.3,mist
193,Abu Kamal,SY,34.4506,40.9171,58.55,32,89,8.61,overcast clouds
194,Riyadh,SA,24.6877,46.7219,55.54,11,1,3.09,clear sky
195,Sokolniki,PL,50.638,21.8065,46.2,83,100,2.75,overcast clouds
196,Paragominas,BR,-2.9667,-47.4833,72.91,100,100,1.72,overcast clouds
197,Gornopravdinsk,RU,60.05,69.9,30.06,97,100,8.08,snow
198,Irtyshskiy,RU,58.3333,68.1333,23.81,92,100,11.97,overcast clouds
199,Jacareacanga,BR,-6.2222,-57.7528,73.35,98,100,2.77,light rain
200,Mao,ES,39.8885,4.2658,57.76,94,100,9.22,mist
201,Talnakh,RU,69.4865,88.3972,27.21,95,100,11.45,light snow
202,Sinnamary,GF,5.3833,-52.95,75.97,81,77,10.89,broken clouds
