City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Capim Grosso,BR,71.58,scattered clouds,-11.3811,-40.0128,Hotel Veloso
436,Ambilobe,MG,70.7,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
438,Ariquemes,BR,72.95,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
442,Manaure,CO,78.78,overcast clouds,11.7751,-72.4445,Hotel Palaaima
446,Arlit,NE,73.58,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
451,Conceicao Do Araguaia,BR,71.64,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
452,Am Timan,TD,77.22,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
454,Nizwa,OM,72.36,clear sky,22.9333,57.5333,Orient Apartments
458,Prieska,ZA,70.39,light rain,-29.6641,22.7474,Avenue GuestHouse
460,Inirida,CO,71.98,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
461,Florianopolis,BR,74.7,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
462,Sosua,DO,73.38,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
463,Matara,LK,79.39,clear sky,5.9485,80.5353,Amaloh Boutique Resort
464,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
465,Richards Bay,ZA,71.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
466,Impfondo,CG,71.17,broken clouds,1.6381,18.0667,Auberge La Place de Jules
467,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
471,El Jicaro,GT,77.83,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
472,Mogadishu,SO,80.13,overcast clouds,2.0371,45.3438,Hotel Juba
475,Lodwar,KE,86.76,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
476,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
477,Ratnagiri,IN,77.36,clear sky,16.9833,73.3,Hotel Landmark
484,Presidencia Roque Saenz Pena,AR,86.16,overcast clouds,-26.7852,-60.4388,Hotel Gualok
486,Boca Do Acre,BR,73.38,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
487,Wajir,KE,78.33,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
488,Laguna,US,70.68,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
489,Manga,BF,81.97,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
491,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
493,Banda Aceh,ID,81.93,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
500,Itarema,BR,75.54,heavy intensity rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
501,San Juan Bautista,PE,73.45,overcast clouds,-14.0108,-75.7358,Hotel Las Dunas
503,Gidam,IN,79.68,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
504,Tahoua,NE,72.01,clear sky,14.8888,5.2692,Bungalows Guesthouse
505,Kontagora,NG,77.27,clear sky,10.3999,5.4695,Queens Guest Inn
507,The Valley,AI,78.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
511,La Romana,DO,75.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
515,Puntarenas,CR,81.88,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
517,Salinopolis,BR,76.06,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
519,Alacranes,CU,72.09,clear sky,22.7675,-81.5675,Hotel Union de Reyes
529,Kindia,GN,74.32,scattered clouds,10.0569,-12.8658,LES EAUX DE KILISSI
535,Grand-Lahou,CI,79.23,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
546,Corrente,BR,71.64,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
547,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
548,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
553,Bilma,NE,70.45,clear sky,18.6853,12.9164,Expeditions Ténére voyages
555,La Macarena,CO,70.54,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
556,Porto Walter,BR,71.82,broken clouds,-8.2686,-72.7439,Secretaria de saúde
559,Farafangana,MG,73.13,light rain,-22.8167,47.8333,Miarina
561,Manavalakurichi,IN,82.81,scattered clouds,8.1333,77.3,Jebinrio home
563,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
565,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
566,Karaton,ID,82.27,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
568,Gibara,CU,74.52,overcast clouds,21.1097,-76.1317,Sol y Mar
569,Acarau,BR,75.87,light rain,-2.8856,-40.12,castelo pizzaria
570,Phalodi,IN,81.57,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
573,Bolama,GW,77.83,clear sky,11.5833,-15.4667,Hotel Samaritana
574,Berbera,SO,77.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
575,Muzaffarpur,IN,81.99,clear sky,26.1167,85.4,Hotel Ranjeet
577,Bariri,BR,84.45,clear sky,-22.0744,-48.7403,San Francisco Hotel
579,Manaus,BR,73.9,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
580,Acari,PE,72.34,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
583,Oussouye,SN,75.22,clear sky,12.485,-16.5469,Auberge du Routard
584,Valparaiso,CL,71.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
587,Lastoursville,GA,70.65,scattered clouds,-0.8143,12.7287,Auberge Bon Coin 02
591,Quirinopolis,BR,73.02,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
593,Wamba,NG,74.46,clear sky,8.9333,8.6,Roma Zee Guest House Annex
599,Islamkot,PK,73.36,clear sky,24.6997,70.177,Haji Hotel
605,Campos,BR,72.91,overcast clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
606,Robore,BO,80.56,few clouds,-18.3333,-59.75,Hotel Las Lajas
607,Rio Verde De Mato Grosso,BR,75.24,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
612,Clarence Town,AU,77.81,light rain,-32.5833,151.7833,River Downs Cottage
620,Umm Lajj,SA,72.57,clear sky,25.0213,37.2685,Moon light Furnished Units
621,Obala,CM,75.07,overcast clouds,4.1667,11.5333,The yafe
622,Mocuba,MZ,70.54,broken clouds,-16.8392,36.9856,Phama Lodge
626,Galle,LK,79.47,moderate rain,6.0367,80.217,Amangalla
629,Korhogo,CI,79.47,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
637,Xuddur,SO,73.96,scattered clouds,4.1213,43.8894,Banjanay Hotel
638,Abeche,TD,73.74,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
639,Manjeshwar,IN,79.75,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
